DATE (MM/DD/YYYY),EST,Global PSP [W/m^2],Direct NIP [W/m^2],Diffuse PSP (sband corr) [W/m^2],Diffuse PSP (sband) [W/m^2]
1/1/2006,07:20,6.0413,-1.8262,5.1491,4.7152
1/1/2006,07:25,10.31,3.9115,9.3172,8.5321
1/1/2006,07:30,13.377,15.839,12.1301,11.108
1/1/2006,07:35,19.361,160.67,15.9162,14.575
1/1/2006,07:40,27.453,226.6,18.0424,16.522
1/1/2006,07:45,38.254,213,20.1260,18.43
1/1/2006,07:50,38.608,155.69,22.3887,20.502
1/1/2006,07:55,53.978,218.24,26.5624,24.324
1/1/2006,08:00,78.975,314.78,34.9393,31.995
1/1/2006,08:05,106.88,372.08,50.1415,45.916
1/1/2006,08:10,119.29,348.01,59.0131,54.04
1/1/2006,08:15,120.09,336.86,54.0619,49.506
1/1/2006,08:20,105.67,282.12,45.8707,42.005
1/1/2006,08:25,102.94,233.2,45.3717,41.548
1/1/2006,08:30,155.02,425.28,47.9882,43.944
1/1/2006,08:35,122.45,288.4,48.3170,44.245
1/1/2006,08:40,127.42,191.59,75.7609,69.376
1/1/2006,08:45,219.24,375.16,107.8733,98.782
1/1/2006,08:50,205.18,365.56,85.9497,78.706
1/1/2006,08:55,102.26,109.21,64.3712,58.946
1/1/2006,09:00,120.71,113.37,77.3151,70.799
1/1/2006,09:05,202.93,220.23,115.4721,105.74
1/1/2006,09:10,276,277.07,162.6155,148.91
1/1/2006,09:15,209.5,125.3,156.6750,143.47
1/1/2006,09:20,136.22,20.132,130.3679,119.38
1/1/2006,09:25,133.08,12.583,129.8766,118.93
1/1/2006,09:30,218.54,137.61,153.0171,140.12
1/1/2006,09:35,401.38,461.87,175.3604,160.58
1/1/2006,09:40,260.15,204.81,155.0158,141.95
1/1/2006,09:45,161.38,21.352,154.5245,141.5
1/1/2006,09:50,195.64,21.197,193.1722,176.89
1/1/2006,09:55,183.08,15.373,182.8416,167.43
1/1/2006,10:00,168.02,8.1019,168.02,158.92
1/1/2006,10:05,216.79,40.346,199.4193,182.61
1/1/2006,10:10,211.75,8.9766,211.75,197.17
1/1/2006,10:15,207.48,10.266,207.48,191.45
1/1/2006,10:20,191.32,7.6657,191.32,177.82
1/1/2006,10:25,175.78,1.8749,175.78,167.37
1/1/2006,10:30,157.88,-2.2645,157.88,153.08
1/1/2006,10:35,153.03,-3.2727,153.03,147.79
1/1/2006,10:40,161.01,-2.4088,161.01,153.59
1/1/2006,10:45,160.56,8.7549,149.4046,136.81
1/1/2006,10:50,302.02,171.73,172.8294,158.26
1/1/2006,10:55,537.77,424.86,247.3955,226.54
1/1/2006,11:00,421.66,227.67,265.4912,243.11
1/1/2006,11:05,327.9,75.543,282.2655,258.47
1/1/2006,11:10,289.58,29.698,280.4530,256.81
1/1/2006,11:15,290.37,27.371,278.1271,254.68
1/1/2006,11:20,303.52,43.913,271.6842,248.78
1/1/2006,11:25,318.33,61.402,270.4941,247.69
1/1/2006,11:30,355.01,132.72,252.3660,231.09
1/1/2006,11:35,599.43,499.86,241.6312,221.26
1/1/2006,11:40,494.16,293.25,288.4921,264.17
1/1/2006,11:45,319.65,51.067,286.8434,262.66
1/1/2006,11:50,328.8,72.295,272.4938,249.52
1/1/2006,11:55,353.07,81.299,287.0732,262.87
1/1/2006,12:00,369.77,98.36,288.4932,264.17
1/1/2006,12:05,291.96,43.222,255.8186,234.25
1/1/2006,12:10,279.31,41.208,243.1944,222.69
1/1/2006,12:15,325.51,92.742,242.8015,222.33
1/1/2006,12:20,501.58,353.36,231.5751,212.05
1/1/2006,12:25,532.06,372.24,253.3623,232
1/1/2006,12:30,403.08,208.66,238.7396,218.61
1/1/2006,12:35,414.36,271.42,201.1286,184.17
1/1/2006,12:40,479.6,379.8,190.7758,174.69
1/1/2006,12:45,401.97,258.64,199.7857,182.94
1/1/2006,12:50,287.01,120.31,186.2660,170.56
1/1/2006,12:55,399.71,333.6,147.6500,135.2
1/1/2006,13:00,495.77,532.02,120.8176,110.63
1/1/2006,13:05,439.04,407.25,148.0762,135.59
1/1/2006,13:10,415.82,349.88,168.9899,154.74
1/1/2006,13:15,411.45,330.87,188.6149,172.71
1/1/2006,13:20,410.92,384.39,154.1596,141.16
1/1/2006,13:25,461.04,540.47,109.2420,100.03
1/1/2006,13:30,395.5,453.56,101.8442,93.256
1/1/2006,13:35,465.26,569.62,109.3732,100.15
1/1/2006,13:40,466.99,522.4,141.5574,129.62
1/1/2006,13:45,517.53,586.25,168.2374,154.05
1/1/2006,13:50,368.27,310.3,184.2258,168.69
1/1/2006,13:55,245.03,49.202,220.7021,202.09
1/1/2006,14:00,370.37,233.41,228.4780,209.21
1/1/2006,14:05,374.16,330.35,171.2194,156.78
1/1/2006,14:10,369.63,418.57,123.9535,113.5
1/1/2006,14:15,390.73,506.3,108.6827,99.517
1/1/2006,14:20,384.14,522.62,102.9089,94.23
1/1/2006,14:25,349.73,476.81,99.0931,90.736
1/1/2006,14:30,355.19,482.22,105.3728,96.486
1/1/2006,14:35,377.82,518.4,120.9071,110.71
1/1/2006,14:40,345.59,464.1,125.5923,115
1/1/2006,14:45,283.75,363.13,113.3062,103.75
1/1/2006,14:50,233.72,251.15,117.7076,107.78
1/1/2006,14:55,181.53,130.66,123.6816,113.25
1/1/2006,15:00,144.12,45.569,125.2106,114.65
1/1/2006,15:05,129.42,12.664,125.5602,114.97
1/1/2006,15:10,134.59,35.612,123.0703,112.69
1/1/2006,15:15,130.26,41.84,116.6925,106.85
1/1/2006,15:20,115.99,8.9084,114.3445,104.7
1/1/2006,15:25,105.76,1.4271,105.76,98.098
1/1/2006,15:30,97.124,.88785,97.124,89.883
1/1/2006,15:35,158.58,245.24,89.8596,82.28
1/1/2006,15:40,145.92,208.02,88.7970,81.307
1/1/2006,15:45,202.35,398.59,105.5251,96.624
1/1/2006,15:50,242.78,486.84,137.5855,125.98
1/1/2006,15:55,219.18,440.92,134.2219,122.9
1/1/2006,16:00,97.633,103.9,82.6934,75.718
1/1/2006,16:05,67.703,60.226,59.5055,54.486
1/1/2006,16:10,49.773,25.936,47.0411,43.073
1/1/2006,16:15,87.552,307.54,40.9657,37.51
1/1/2006,16:20,62.454,181.58,38.0891,34.876
1/1/2006,16:25,30.503,36.122,26.9625,24.688
1/1/2006,16:30,17.169,20.026,15.7420,14.414
1/1/2006,16:35,24.672,173.76,10.2347,9.3713
1/1/2006,16:40,17.377,138.76,7.8323,7.1716
1/1/2006,16:45,13.416,155.32,5.8476,5.3543
1/1/2006,16:50,5.1451,166.22,3.8302,3.5071
1/1/2006,16:55,1.3543,92.077,1.3562,1.3562

1/2/2006,07:20,4.8184,.59685,4.6160,4.2259
1/2/2006,07:25,7.7952,1.1119,7.3407,6.7203
1/2/2006,07:30,13.135,4.2352,12.1707,11.142
1/2/2006,07:35,18.833,.13899,18.3368,16.787
1/2/2006,07:40,27.196,.4197,26.6680,24.414
1/2/2006,07:45,33.12,6.1047,32.4814,29.736
1/2/2006,07:50,43.362,47.483,34.0500,31.172
1/2/2006,07:55,40.733,15.872,38.1114,34.89
1/2/2006,08:00,42.966,.74128,42.9351,39.306
1/2/2006,08:05,47.926,.09266,47.1953,43.206
1/2/2006,08:10,52.446,9.9855,48.4056,44.314
1/2/2006,08:15,65.54,35.23,53.1344,48.643
1/2/2006,08:20,86.171,77.292,63.1751,57.835
1/2/2006,08:25,97.924,69.895,78.7279,72.073
1/2/2006,08:30,142.38,139.49,97.5151,89.272
1/2/2006,08:35,185.35,212.12,103.7230,94.955
1/2/2006,08:40,253.42,257.18,109.5179,100.26
1/2/2006,08:45,247.84,139.2,136.3677,124.84
1/2/2006,08:50,236.53,104.24,150.3061,137.6
1/2/2006,08:55,398.18,280.64,149.4652,136.83
1/2/2006,09:00,372.75,258.06,145.7295,133.41
1/2/2006,09:05,395.11,259.64,182.1158,166.72
